timestamp,cylinder_number,customer,job_number,grain_screened,proof_on_ctd_ink,blade_mfg,paper_type,ink_type,direct_steam,solvent_type,type_on_cylinder,press_type,press,unit_number,cylinder_size,paper_mill_location,plating_tank,proof_cut,viscosity,caliper,ink_temperature,humidity,roughness,blade_pressure,varnish_pct,press_speed,ink_pct,solvent_pct,ESA_Voltage,ESA_Amperage,wax,hardener,roller_durometer,current_density,anode_space_ratio,chrome_content,band_type
1991-01-08,x126,tvguide,25503,True,True,benton,uncoated,uncoated,False,line,True,motter94,821,2,tabloid,northus,1911.0,55.0,46.0,0.2,17.0,78.0,0.75,20.0,13.1,1700.0,50.5,36.4,0.0,0.0,2.5,1.0,34.0,40.0,105.0,100.0,band
1991-01-09,x266,tvguide,25503,True,True,benton,uncoated,uncoated,False,line,True,motter94,821,2,tabloid,northus,,55.0,46.0,0.3,15.0,80.0,0.75,20.0,6.6,1900.0,54.9,38.5,0.0,0.0,2.5,0.7,34.0,40.0,105.0,100.0,noband
1991-01-04,b7,modmat,47201,True,True,benton,uncoated,coated,False,line,True,woodhoe70,815,9,catalog,northus,,62.0,40.0,0.433,16.0,80.0,,30.0,6.5,1850.0,53.8,39.8,0.0,0.0,2.8,0.9,40.0,40.0,103.87,100.0,noband
1991-01-04,t133,massey,39039,True,True,benton,uncoated,uncoated,False,line,True,woodhoe70,816,9,catalog,northus,1910.0,52.0,40.0,0.3,16.0,75.0,0.3125,30.0,5.6,1467.0,55.6,38.8,0.0,0.0,2.5,1.3,40.0,40.0,108.06,100.0,noband
1991-01-11,j34,kmart,37351,False,True,benton,uncoated,coated,False,line,True,woodhoe70,816,2,tabloid,,1910.0,50.0,46.0,0.3,17.0,80.0,0.75,30.0,0.0,2100.0,57.5,42.5,5.0,0.0,2.3,0.6,35.0,40.0,106.67,100.0,noband
1991-01-04,t218,massey,38039,True,True,benton,uncoated,uncoated,False,line,True,woodhoe70,816,2,catalog,northus,1910.0,50.0,40.0,0.267,16.8,76.0,0.4375,28.0,8.6,1467.0,53.8,37.6,5.0,0.0,2.5,0.8,40.0,40.0,103.87,100.0,noband
1991-01-11,x249,roses,35751,False,True,benton,coated,coated,False,line,True,motter94,827,2,tabloid,canadian,1911.0,50.0,46.0,0.3,16.5,75.0,0.75,30.0,0.0,2600.0,62.5,37.5,6.0,0.0,2.5,0.6,30.0,40.0,106.67,100.0,noband
1991-01-11,x788,roses,35751,False,True,benton,coated,coated,False,line,True,motter94,827,9,tabloid,canadian,1911.0,50.0,46.0,0.2,16.5,75.0,0.75,28.0,0.0,2600.0,62.5,37.5,6.0,0.0,2.5,1.1,30.0,40.0,106.67,100.0,noband
1991-01-12,m372,modmat,47201,True,True,benton,uncoated,uncoated,False,xylol,True,albert70,802,7,catalog,northus,1910.0,50.0,45.0,0.367,12.0,70.0,0.75,60.0,0.0,1650.0,60.2,39.8,1.5,0.0,3.0,1.0,40.0,40.0,103.22,100.0,band
1991-01-14,i320,childcraft,37000,True,True,benton,uncoated,uncoated,False,line,True,woodhoe70,815,2,catalog,northus,1911.0,65.0,43.0,0.333,16.0,75.0,1.0,32.0,22.7,1750.0,45.5,31.8,0.0,0.0,3.0,1.0,38.0,40.0,106.66,100.0,noband
